City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
Linhares,-19.39,-40.07,81.37,56,100,6.73,1603112541,BR
Motomachi,43.82,144.1,45,78,39,5.99,1603112541,JP
Emirdağ,39.02,31.15,63.43,58,99,8.39,1603112541,TR
Laguna,38.42,-121.42,59,76,0,1.88,1603112541,US
Nakhon Phanom,17.33,104.42,67.12,94,100,4.12,1603112541,TH
São Félix do Xingu,-6.64,-51.99,92.48,42,69,3.96,1603112542,BR
Salisbury,51.07,-1.8,60.01,60,100,16.78,1603112501,GB
Constitución,-35.33,-72.42,55.51,54,0,6.76,1603112543,CL
Taihecun,45.8,130.85,43.88,60,100,1.48,1603112543,CN
Muravlenko,63.79,74.52,28.18,99,100,12.57,1603112603,RU
Ponta do Sol,32.67,-17.1,73,74,95,5.99,1603112603,PT
Natal,-5.79,-35.21,83.66,59,96,14.52,1603112604,BR
Lima,-12.04,-77.03,61,98,5,6.26,1603112486,PE
Marzuq,14.4,46.47,82.72,15,0,13.15,1603112604,YE
Nyakahanga,-1.6,31.14,67.48,78,94,3.04,1603112604,TZ
Salamiyah,35.01,37.05,90.27,14,1,11.07,1603112604,SY
Xiongyue,40.18,122.12,57.61,77,0,9.48,1603112605,CN
São José da Coroa Grande,-8.9,-35.15,81.36,62,33,10.58,1603112605,BR
Ushtobe,45.25,77.98,51.91,41,0,11.54,1603112605,KZ
Mercedes,-34.65,-59.43,77,73,100,1.01,1603112605,AR
Marietta,33.95,-84.55,55.99,82,0,6.62,1603112329,US
Bom Jesus,-9.07,-44.36,90.19,40,0,11.79,1603112606,BR
San Antonio,29.42,-98.49,73,89,39,4.54,1603112508,US
Sambava,-14.27,50.17,79.68,61,1,15.7,1603112606,MG
Disna,55.57,28.2,44.65,60,98,17.96,1603112606,BY
Ulaangom,49.98,92.07,28.11,76,0,0.83,1603112468,MN
Arlit,18.74,7.39,101.77,8,0,3.44,1603112607,NE
Touros,-5.2,-35.46,83.23,62,99,16.53,1603112607,BR
Bengkulu,-3.8,102.27,78.46,84,100,4.94,1603112607,ID
Rawson,-43.3,-65.1,55.22,36,0,27.45,1603112453,AR
Grants,35.15,-107.85,46.72,49,0,5.73,1603112482,US
Nuuk,64.18,-51.72,39,86,100,28.99,1603112408,GL
Sarāhan,31.52,77.8,53.02,46,0,1.39,1603112608,IN
Kidal,18.44,1.41,100.06,9,0,3.04,1603112608,ML
Brownwood,31.71,-98.99,55,100,100,1.99,1603112608,US
Sorong,-0.88,131.25,80.33,84,99,6.8,1603112588,ID
Rio Grande,-32.03,-52.1,70.88,72,0,9.37,1603112585,BR
Umba,66.69,34.34,34.79,85,100,12.64,1603112609,RU
Morgan City,29.7,-91.21,70,98,17,1.01,1603112609,US
Novobelokatay,55.71,58.95,47.91,79,100,11.9,1603112609,RU
Mogok,22.92,96.5,65.91,98,100,2.3,1603112609,MM
San Clemente,33.43,-117.61,66.99,91,15,0.78,1603112610,US
Sabha,27.04,14.43,92.62,13,0,10.56,1603112610,LY
Vanimo,-2.67,141.3,79.3,80,100,1.92,1603112472,PG
Prince Rupert,54.32,-130.32,43.21,84,100,1.16,1603112363,CA
Makkah al Mukarramah,21.43,39.83,98.65,12,0,13.06,1603112495,SA
Jumla,29.27,82.18,52.84,66,0,1.28,1603112584,NP
Abu Kamal,34.45,40.92,92.01,11,0,4.68,1603112611,SY
Kalmunai,7.42,81.82,81.91,78,87,7.56,1603112611,LK
Road Town,18.42,-64.62,84,79,41,5.99,1603112611,VG
West Fargo,46.88,-96.9,27,63,89,4,1603112612,US
Basco,20.45,121.97,81.82,80,33,31.94,1603112612,PH
Zakamensk,50.37,103.29,26.19,93,100,9.66,1603112612,RU
Pundaguitan,6.37,126.17,82.31,81,100,15.08,1603112612,PH
Saint-Leu,-21.15,55.28,78.01,94,22,10.67,1603112612,RE
Meadow Lake,34.8,-106.54,48.99,31,0,3,1603112576,US
Darhan,49.49,105.92,35.82,78,97,16.73,1603112673,MN
Japura,-0.32,102.35,80.47,71,12,3.71,1603112673,ID
Broken Hill,-31.95,141.43,61.77,38,100,7.45,1603112673,AU
Isil'kul',54.91,71.27,47.68,52,100,16.46,1603112673,RU
Kunya,12.22,8.53,97.9,13,0,8.16,1603112674,NG
Loreto,22.27,-101.97,53.31,78,1,3.51,1603112674,MX
Calvinia,-31.47,19.78,74.39,20,100,17.47,1603112674,ZA
Purwodadi Grobogan,-7.09,110.92,75.83,86,100,2.98,1603112674,ID
Lefka,35.11,32.85,82,45,57,1.01,1603112674,CY
Bayir,37.27,28.22,72.21,59,100,5.57,1603112675,TR
Port Shepstone,-30.74,30.45,69.44,84,100,14.97,1603112675,ZA
Kundiawa,-6.02,144.97,63.23,80,100,1.63,1603112675,PG
Thyborøn,56.7,8.21,53.01,75,64,11.43,1603112675,DK
Okha,53.57,142.95,31.84,95,100,15.1,1603112675,RU
Rapid Valley,44.06,-103.15,30,96,100,1.99,1603112676,US
Talcahuano,-36.72,-73.12,53.04,64,0,5.61,1603112655,CL
Toamasina,-18.17,49.38,75.65,84,27,8.84,1603112676,MG
Colares,38.8,-9.45,64,99,100,34,1603112676,PT
Yatou,37.15,122.38,57.88,56,0,3.13,1603112676,CN
Iskateley,67.68,53.15,27.18,96,0,2.77,1603112677,RU
Grindavik,63.84,-22.43,45,66,0,6.17,1603112677,IS
Saint Joseph,39.77,-94.85,39.99,67,78,1.99,1603112401,US
Paramonga,-10.67,-77.83,64.31,77,25,7.72,1603112677,PE
Isangel,-19.55,169.27,73.26,78,84,10.8,1603112678,VU
Tessalit,20.2,1.01,96.75,10,0,4.45,1603112678,ML
Boston,42.36,-71.06,52,91,26,1.52,1603111876,US
Gisborne,-38.65,178,64.99,62,100,5.99,1603112578,NZ
Puerto Ayacucho,5.66,-67.62,81.41,78,80,2.95,1603112678,VE
Chara,56.91,118.26,28.99,93,100,0.6,1603112679,RU
Sørland,67.67,12.69,41.11,67,50,8.34,1603112679,NO
Iquique,-20.22,-70.14,63.27,59,30,3.29,1603112638,CL
Ørje,59.48,11.66,46,76,100,2.66,1603112679,NO
Nelson,-41.28,173.28,53.01,91,30,1.99,1603112680,NZ
Tongchuanshi,35.08,109.09,56.01,45,62,1.57,1603112680,CN
Ormara,25.21,64.64,84.65,46,0,8.37,1603112680,PK
Mahon,39.89,4.27,67.95,55,0,12.75,1603112680,ES
Novikovo,51.15,37.89,50.2,58,100,11.14,1603112681,RU
Bulgan,48.81,103.53,37.99,69,100,5.57,1603112681,MN
Ciocăneşti,44.6,25.85,55.99,56,0,1.01,1603112681,RO
Ilulissat,69.22,-51.1,38.05,74,100,19.98,1603112463,GL
Devils Lake,48.11,-98.87,16.65,88,0,5.1,1603112681,US
Chapais,49.78,-74.85,31.69,97,82,7.43,1603112682,CA
Havelock,34.88,-76.9,66,90,0,8.61,1603112422,US
Husavik,66.04,-17.34,38.52,76,93,2.08,1603112682,IS
Bilma,18.69,12.92,100.47,8,0,6.33,1603112682,NE
Santa Cruz,30.42,-9.6,80.24,29,13,7.14,1603112682,MA
Hokitika,-42.72,170.97,50.95,82,94,9.71,1603112683,NZ
Snåase,64.25,12.38,38.7,73,100,0.34,1603112683,NO
Kashgar,39.45,75.98,53.01,100,0,6.44,1603112743,CN
Abu Dhabi,24.47,54.37,85.96,54,0,15.75,1603112668,AE
Dolores,-36.31,-57.68,70.68,95,100,3.91,1603112743,AR
Atar,20.52,-13.05,96.24,18,1,14.61,1603112743,MR
Aran,40.63,46.98,81.59,30,9,0.43,1603112744,AZ
Bollnäs,61.35,16.39,38.66,69,91,10.2,1603112744,SE
Muros,42.78,-9.06,62.01,83,100,15.99,1603112744,ES
State College,40.79,-77.86,51.01,85,99,2.66,1603112551,US
Eydhafushi,5.1,73.07,82.63,75,100,13.82,1603112745,MV
Gewanē,10.17,40.65,96.19,15,0,11.54,1603112745,ET
Papillion,41.15,-96.04,37,83,100,4,1603112614,US
Gaurnadi,22.97,90.23,82.89,72,14,2.95,1603112746,BD
Pandan,14.05,124.17,81.1,86,100,7.18,1603112746,PH
Gmina Opole Lubelskie,51.15,21.97,54,45,78,12.57,1603112746,PL
Vysokogornyy,50.12,139.15,21.29,95,41,2.86,1603112746,RU
Zlobin,45.29,14.65,62.01,56,19,3.2,1603112746,HR
Nālūt,30.33,10.85,77.16,24,0,11.74,1603112747,LY
Aswān,24.09,32.91,103.6,7,0,3.83,1603112747,EG
São Filipe,14.9,-24.5,81.99,74,0,6.35,1603112747,CV
Anadyr,64.75,177.48,30,86,63,11.56,1603112748,RU
Bandarbeyla,9.49,50.81,83.28,62,0,9.26,1603112748,SO
Preobrazheniye,42.9,133.91,48.52,60,0,9.48,1603112748,RU
Taltal,-25.4,-70.48,61.43,60,22,3.09,1603112452,CL
Mocuba,-16.84,36.99,99.84,13,0,4.41,1603112749,MZ
Potam,27.6,-110.38,70,75,40,2.15,1603112749,MX
Waddān,29.16,16.14,82.56,36,0,7.76,1603112749,LY
Sterling,39.01,-77.43,57.99,96,100,3.24,1603112592,US
Tripoli,32.88,13.19,72.93,51,55,10.87,1603112577,LY
Zhongshu,24.52,103.77,51.19,87,100,3.62,1603112750,CN
Starkville,33.45,-88.82,62.01,95,36,3,1603112621,US
Ghauspur,28.14,69.08,87.44,12,0,6.44,1603112750,PK
Manoel Urbano,-8.84,-69.26,85.3,59,28,2.53,1603112750,BR
Mahdalynivka,48.92,34.92,53.96,54,47,13.4,1603112751,UA
Nioro,13.35,-15.75,95.99,36,0,8.88,1603112751,GM
Atasū,48.68,71.64,47.35,43,0,3.27,1603112751,KZ
Piedecuesta,6.99,-73.05,70.5,77,100,2.57,1603112751,CO
Pareora,-44.49,171.21,51.01,97,100,7.07,1603112751,NZ
Bacalar,18.67,-88.38,74.05,95,86,4.32,1603112752,MX
Kankakee,41.15,-87.87,39.99,93,100,3.51,1603112752,US
Skjervøy,70.03,20.97,38.73,71,0,6.73,1603112752,NO
Yarensk,62.17,49.09,34.57,89,99,6.78,1603112753,RU
Zeya,53.75,127.27,25.92,90,93,3.42,1603112753,RU
Talnakh,69.49,88.4,8.35,94,98,2.71,1603112753,RU
Leshukonskoye,64.9,45.76,30.97,99,100,8.75,1603112814,RU
Härnösand,62.63,17.94,37.99,67,100,17.78,1603112814,SE
Nemuro,43.32,145.57,55.31,64,16,8.05,1603112814,JP
Todos Santos,23.45,-110.22,73.99,84,0,3.8,1603112814,MX
Wairoa,-39.03,177.37,64.99,62,97,5.99,1603112814,NZ
Denpasar,-8.65,115.22,77.25,87,100,6.93,1603112552,ID
Ayutla,20.12,-104.33,63.41,79,10,2.42,1603112815,MX
Ilhabela,-23.78,-45.36,75.78,70,100,7.54,1603112815,BR
Katete,-0.78,29.75,79.07,55,100,3.44,1603112815,UG
Oleksandrivka,46.84,32.76,58.32,41,0,13.35,1603112815,UA
Vanavara,60.34,102.28,25.83,95,100,13.24,1603112816,RU
Pinawa,50.15,-95.88,21.85,92,11,5.23,1603112816,CA
Thanh Hoa,19.8,105.77,64.89,92,100,12.28,1603112816,VN
Katherine,-14.47,132.27,87.66,45,29,2.55,1603112817,AU
Hamilton,39.18,-84.53,55,95,100,7.43,1603112817,US
Khor,47.89,134.95,34.74,87,0,5.41,1603112817,RU
Sungai Penuh,-2.08,101.38,68.14,95,100,1.23,1603112817,ID
Moroni,-11.7,43.26,76.98,77,99,5.1,1603112817,KM
Naze,28.37,129.48,71.15,89,99,21.32,1603112818,JP
Omboué,-1.57,9.26,79.92,79,100,11.68,1603112818,GA
Jacqueville,5.21,-4.41,79.29,79,32,10.25,1603112818,CI
Paita,-5.09,-81.11,65.41,79,21,11.95,1603112818,PE
Mahajanga,-15.72,46.32,86.5,48,1,12.19,1603112819,MG
San Quintín,30.48,-115.95,68.02,81,0,11.25,1603112819,MX
Coyhaique,-45.58,-72.07,40.19,73,10,15.35,1603112819,CL
Shimoda,34.67,138.95,50,93,100,14.2,1603112819,JP
Mae Sai,20.43,99.88,71.01,98,100,0.36,1603112819,TH
Amalāpuram,16.58,82.02,78.96,90,90,2.44,1603112820,IN
San Fernando del Valle de Catamarca,-28.47,-65.79,89.01,48,0,4,1603112820,AR
Klyuchi,52.27,79.17,39.42,66,100,10.47,1603112820,RU
Luancheng,37.88,114.65,62.58,30,0,9.46,1603112820,CN
Supe,-10.8,-77.73,64.22,76,28,7.11,1603112821,PE
Kamaishi,39.27,141.88,56.21,73,98,5.91,1603112821,JP
Banjar,-8.19,114.97,77.94,78,98,1.81,1603112821,ID
Paamiut,61.99,-49.67,39.69,82,88,11.16,1603112821,GL
Severo-Yeniseyskiy,60.37,93.04,23.56,95,100,13.27,1603112822,RU
San Fernando,15.03,120.69,78.93,83,100,2.39,1603112822,PH
Brynmawr,51.8,-3.18,57.99,78,100,3,1603112822,GB
Wanaka,-44.7,169.15,44.13,77,41,6.38,1603112823,NZ
Panguna,-6.32,155.48,69.71,98,91,1.59,1603112823,PG
Mehamn,71.04,27.85,38.89,78,100,12.15,1603112587,NO
Arona,28.1,-16.68,81,68,10,5.01,1603112823,ES
Vaitape,-16.52,-151.75,80.28,80,0,13.69,1603112824,PF
Tooele,40.53,-112.3,48,59,0,1.01,1603112824,US
Tazovsky,67.47,78.7,20.32,97,77,11.32,1603112824,RU
Yuncheng,35.02,110.99,61.7,40,77,3.24,1603112554,CN
Sucúa,-2.47,-78.17,75.06,63,93,0.51,1603112824,EC
Sari,36.56,53.06,76.53,26,0,5.28,1603112885,IR
Bonthe,7.53,-12.51,85.82,68,99,7,1603112885,SL
South Valley,35.01,-106.68,51.01,32,0,1.01,1603112885,US
Kotma,23.2,81.97,75.74,59,27,2.59,1603112885,IN
Bantry,51.68,-9.45,56.71,90,100,12.97,1603112869,IE
Yar-Sale,66.83,70.83,19.11,96,0,4.83,1603112886,RU
Onega,63.91,38.14,32.32,98,100,3.53,1603112886,RU
Guarujá,-23.99,-46.26,73,74,100,1.99,1603112673,BR
Hermon,44.81,-68.91,46,88,0,2.8,1603112819,US
Williamsport,41.24,-77,55,89,100,2.44,1603112810,US
Greenville,35.61,-77.37,57.99,97,17,6.55,1603112868,US
Midland,32.0,-102.08,45,80,0,3,1603112712,US
Pontes e Lacerda,-15.23,-59.34,85.28,60,92,3.91,1603112887,BR
Madīnat Sittah Uktūbar,29.82,31.05,94.01,17,0,17.05,1603112887,EG
Malindi,-3.22,40.12,82.29,70,2,13.35,1603112888,KE
Brazzaville,-4.27,15.28,91.74,49,20,6.96,1603112888,CG
Lebanon,36.21,-86.29,64,80,5,1.99,1603112730,US
Shalakusha,62.22,40.25,33.62,96,100,5.39,1603112888,RU
Tevaitoa,-16.78,-151.5,80.08,79,0,15.64,1603112889,PF
Córdoba,-31.41,-64.18,77,50,0,11.99,1603112889,AR
Narragansett,41.45,-71.45,51.01,94,93,5.14,1603112768,US
Chicama,-7.84,-79.15,68.32,66,25,5.17,1603112889,PE
Cuenca,-2.88,-78.98,55.92,75,100,3.15,1603112773,EC
Salamanca,40.83,-6,71.01,33,79,17,1603112747,ES
Pangnirtung,66.15,-65.71,29.89,93,100,18.7,1603112890,CA
Vilhena,-12.74,-60.15,79.95,67,66,5.7,1603112890,BR
Peniche,39.36,-9.38,66.99,87,100,18.99,1603112890,PT
Havøysund,71.0,24.66,39.42,78,100,8.95,1603112891,NO
Belyy Yar,53.6,91.39,33.19,83,100,8.3,1603112891,RU
Sisimiut,66.94,-53.67,36.59,88,100,44.87,1603112891,GL
Antalaha,-14.9,50.28,79.9,61,23,15.01,1603112891,MG
Francistown,-21.17,27.51,98.55,10,0,17.38,1603112760,BW
Chubbuck,42.92,-112.47,53.01,58,100,1.99,1603112892,US
Agua Verde,22.9,-106.05,82,92,83,4.12,1603112892,MX
Apomu,7.33,4.18,88.02,61,81,3.27,1603112893,NG
Jaroměřice nad Rokytnou,49.09,15.89,51.01,63,94,6.89,1603112893,CZ
Sadon,42.85,44,60.84,42,97,5.46,1603112893,RU
Porto Seguro,-16.45,-39.06,77.13,72,100,8.9,1603112893,BR
Løgumkloster,55.06,8.96,53.01,81,93,3,1603112894,DK
‘Ewa Beach,21.32,-158.01,80.01,74,13,4,1603112894,US
Lensk,60.73,114.93,26.31,94,98,8.52,1603112894,RU
Gizo Government Station,-8.1,156.84,82.62,74,0,3.62,1603112894,SB
Verāval,20.9,70.37,84.09,74,1,6.93,1603112895,IN
Nome,64.5,-165.41,37,96,100,5.53,1603112895,US
Tairua,-37.02,175.85,63,78,77,7,1603112895,NZ
Władysławowo,54.79,18.4,48.99,80,45,17.85,1603112895,PL
Berkåk,62.83,10.01,41,89,23,1.01,1603112895,NO
Yacuiba,-22.04,-63.68,91.67,28,0,5.3,1603112896,BO
Copperas Cove,31.12,-97.9,63,77,100,9.15,1603112716,US
Porirua,-41.13,174.85,57,87,100,10,1603112956,NZ
Cardoso,-20.08,-49.91,76.3,68,100,9.31,1603112956,BR
Anuchino,43.96,133.05,41.81,73,2,4.76,1603112957,RU
Carros,43.79,7.18,64,65,39,5.37,1603112957,FR
Evensk,61.95,159.23,35.51,93,100,10.07,1603112957,RU
Kindia,10.06,-12.87,84.2,73,91,2.8,1603112957,GN
Jūybār,36.64,52.91,75.96,30,0,6.46,1603112958,IR
Mwene-Ditu,-7.0,23.45,82.69,60,79,2.86,1603112958,CD
Danshui,22.8,114.47,77,95,11,18.99,1603112958,CN
Honolulu,21.31,-157.86,80.01,79,16,6.96,1603112701,US
Waterloo,43.47,-80.52,42.01,71,100,3.29,1603112949,CA
Kibre Mengist,5.88,38.98,69.04,78,81,3.2,1603112959,ET
Cran-Gevrier,45.9,6.1,62.01,47,84,4,1603112959,FR
Huilong,31.81,121.66,64.99,75,0,9.08,1603112960,CN
Jining,35.41,116.58,59.36,37,0,5.3,1603112761,CN
Vila Franca do Campo,37.72,-25.43,63.63,68,100,18.95,1603112960,PT
Baykit,61.67,96.37,25.54,93,100,12.53,1603112960,RU
Distrikt Brokopondo,4.75,-55.17,83.82,66,0,6.71,1603112961,SR
Knysna,-34.04,23.05,67.35,61,93,9.04,1603112961,ZA
Port Blair,11.67,92.75,81.01,83,99,15.17,1603112961,IN
Notsé,6.95,1.17,86.54,66,73,5.64,1603112947,TG
Santa Inês,-3.67,-45.38,85.59,61,100,8.32,1603112962,BR
Ichhāwar,23.02,77.02,78.22,74,97,4.05,1603112962,IN
El Rosario,24.26,-107.18,79,90,7,2.08,1603112962,MX
Najrān,17.49,44.13,80.62,16,0,12.48,1603112962,SA
Zhezkazgan,47.8,67.71,55.81,47,41,5.01,1603112962,KZ
Ganzhou,28.82,115.43,58.46,78,4,4.34,1603112963,CN
Strezhevoy,60.73,77.59,32.23,98,100,13.6,1603112963,RU
Santo Antônio do Içá,-3.1,-67.94,81.45,75,100,2.66,1603112963,BR
Bud,39.45,-86.18,46,98,100,8.46,1603112964,US
Nizwá,22.93,57.53,90.64,12,37,4.83,1603112964,OM
Fleetwood,53.93,-3.01,55,82,100,8.99,1603112964,GB
Coruripe,-10.13,-36.18,80.92,64,81,13,1603112964,BR
Vao,-22.67,167.48,72.36,80,5,18.07,1603112965,NC
Alyangula,-13.85,136.42,79.57,74,57,9.04,1603112965,AU
Myślibórz,52.92,14.87,53.01,56,100,9.8,1603112965,PL
